frame,time_s,detected,mean_visibility,num_visible,torso_lean_deg,right_elbow_angle_deg,left_elbow_angle_deg,right_knee_angle_deg,left_knee_angle_deg,right_wrist_speed_norm,left_wrist_speed_norm
0,0.0,0,0.0,0,,,,,,,
1,0.03333333333333333,0,0.0,0,,,,,,,
2,0.06666666666666667,0,0.0,0,,,,,,,
3,0.1,0,0.0,0,,,,,,,
4,0.13333333333333333,0,0.0,0,,,,,,,
5,0.16666666666666666,0,0.0,0,,,,,,,
6,0.2,0,0.0,0,,,,,,,
7,0.23333333333333334,0,0.0,0,,,,,,,
8,0.26666666666666666,0,0.0,0,,,,,,,
9,0.3,0,0.0,0,,,,,,,
10,0.3333333333333333,0,0.0,0,,,,,,,
11,0.36666666666666664,0,0.0,0,,,,,,,
12,0.4,0,0.0,0,,,,,,,
13,0.43333333333333335,0,0.0,0,,,,,,,
14,0.4666666666666667,0,0.0,0,,,,,,,
15,0.5,0,0.0,0,,,,,,,
16,0.5333333333333333,0,0.0,0,,,,,,,
17,0.5666666666666667,0,0.0,0,,,,,,,
18,0.6,0,0.0,0,,,,,,,
19,0.6333333333333333,0,0.0,0,,,,,,,
20,0.6666666666666666,0,0.0,0,,,,,,,
21,0.7,0,0.0,0,,,,,,,
22,0.7333333333333333,0,0.0,0,,,,,,,
23,0.7666666666666667,0,0.0,0,,,,,,,
24,0.8,0,0.0,0,,,,,,,
25,0.8333333333333334,0,0.0,0,,,,,,,
26,0.8666666666666667,0,0.0,0,,,,,,,
27,0.9,0,0.0,0,,,,,,,
28,0.9333333333333333,1,0.5744971667344754,9,-114.75693238394483,142.06877410199914,77.79555529021333,,,,
29,0.9666666666666667,0,0.0,0,,,,,,,
30,1.0,0,0.0,0,,,,,,,
31,1.0333333333333334,0,0.0,0,,,,,,,
32,1.0666666666666667,0,0.0,0,,,,,,,
33,1.1,1,0.5294718089011999,7,-69.3054406848898,86.44793819129842,,,,,
34,1.1333333333333333,1,0.5294718089011999,7,-33.92554906948717,36.604898755557116,,,,13.526815810045091,
35,1.1666666666666667,1,0.48819225252820897,6,-18.92886652023828,,,,,,
36,1.2,1,0.4747153279873041,5,,,,,,,
37,1.2333333333333334,1,0.4747153279873041,5,,,,,,,
38,1.2666666666666666,1,0.4417783460364892,3,,,,,,,
39,1.3,1,0.4310778216100656,3,,,,,,,
40,1.3333333333333333,1,0.4310778216100656,3,,,,,,,
41,1.3666666666666667,1,0.4092025445917478,3,,,,,,,
42,1.4,1,0.40118082254551923,3,,,,,,,
43,1.4333333333333333,1,0.40118082254551923,3,,,,,,,
44,1.4666666666666666,1,0.383994424285797,3,,,,,,,
45,1.5,1,0.3761164593295409,3,,,,,,,
46,1.5333333333333334,1,0.3761164593295409,3,,,,,,,
47,1.5666666666666667,1,0.37615130497859073,3,,,,,,,
48,1.6,1,0.37040684615763336,3,,,,,,,
49,1.6333333333333333,1,0.37040684615763336,3,,,,,,,
50,1.6666666666666667,1,0.3581953491442479,3,,,,,,,
51,1.7,1,0.35725214776511377,3,,,,,,,
52,1.7333333333333334,1,0.35725214776511377,3,,,,,,,
53,1.7666666666666666,1,0.3511319841043307,3,,,,,,,
54,1.8,1,0.3511319841043307,3,,,,,,,
55,1.8333333333333333,1,0.343964921310544,3,,,,,,,
56,1.8666666666666667,1,0.33847251161932945,3,,,,,,,
57,1.9,1,0.33847251161932945,3,,,,,,,
58,1.9333333333333333,1,0.33136074603177035,3,,,,,,,
59,1.9666666666666666,1,0.32793152074401194,3,,,,,,,
60,2.0,1,0.32793152074401194,3,,,,,,,
61,2.033333333333333,1,0.3227878310359441,3,,,,,,,
62,2.066666666666667,1,0.32073233376901883,3,,,,,,,
63,2.1,1,0.31957072406434095,3,,,,,,,
64,2.1333333333333333,1,0.32042437906448656,3,,,,,,,
65,2.1666666666666665,1,0.32145912959598577,3,,,,,,,
66,2.2,1,0.32145912959598577,3,,,,,,,
67,2.2333333333333334,1,0.3127312526966517,3,,,,,,,
68,2.2666666666666666,1,0.3100550494228418,3,,,,,,,
69,2.3,1,0.3100550494228418,3,,,,,,,
70,2.3333333333333335,1,0.3146666642278433,3,,,,,,,
71,2.3666666666666667,1,0.3147426333564978,3,,,,,,,
72,2.4,1,0.3147426333564978,3,,,,,,,
73,2.433333333333333,1,0.319126503685346,3,,,,,,,
74,2.466666666666667,1,0.3195658168540551,3,,,,,,,
75,2.5,1,0.3195658168540551,3,,,,,,,
76,2.533333333333333,1,0.3179906118088044,3,,,,,,,
77,2.566666666666667,1,0.316113019362092,3,,,,,,,
78,2.6,1,0.316113019362092,3,,,,,,,
79,2.6333333333333333,1,0.3163339766458823,3,,,,,,,
80,2.6666666666666665,1,0.31871021453004617,3,,,,,,,
81,2.7,1,0.31871021453004617,3,,,,,,,
82,2.7333333333333334,1,0.3181238856453162,3,,,,,,,
83,2.7666666666666666,1,0.3185299571890097,3,,,,,,,
84,2.8,1,0.3185299571890097,3,,,,,,,
85,2.8333333333333335,1,0.3132413271814585,3,,,,,,,
86,2.8666666666666667,1,0.3109029909739128,3,,,,,,,
87,2.9,1,0.3109029909739128,3,,,,,,,
88,2.933333333333333,1,0.3070708109209171,3,,,,,,,
89,2.966666666666667,1,0.3061337193044332,3,,,,,,,
90,3.0,1,0.3061337193044332,3,,,,,,,
91,3.033333333333333,1,0.3025066813883873,3,,,,,,,
92,3.066666666666667,1,0.30091810126144153,3,,,,,,,
93,3.1,1,0.30091810126144153,3,,,,,,,
94,3.1333333333333333,1,0.2997854806196231,3,,,,,,,
95,3.1666666666666665,1,0.3008687865848725,3,,,,,,,
96,3.2,1,0.3008687865848725,3,,,,,,,
97,3.2333333333333334,1,0.30068804137408733,3,,,,,,,
98,3.2666666666666666,1,0.30292020150675225,3,,,,,,,
99,3.3,1,0.30292020150675225,3,,,,,,,
100,3.3333333333333335,1,0.3071327474541389,3,,,,,,,
101,3.3666666666666667,1,0.3046127035497473,3,,,,,,,
102,3.4,1,0.3046127035497473,3,,,,,,,
103,3.433333333333333,1,0.3033154453509129,3,,,,,,,
104,3.466666666666667,1,0.30170071576363766,3,,,,,,,
105,3.5,1,0.30170071576363766,3,,,,,,,
106,3.533333333333333,1,0.3009713307166329,3,,,,,,,
107,3.566666666666667,1,0.3009713307166329,3,,,,,,,
