frame,time_s,torso_lean_deg,right_elbow_angle_deg,left_elbow_angle_deg,reason
117,4.68,0.8649693430021715,74.19123793392657,72.96471641094737,left_elbow_too_bent
118,4.72,0.7462975924971358,73.62362193268306,72.49144561399478,left_elbow_too_bent
119,4.76,0.6095845460530493,73.0578416580664,71.96304461882585,left_elbow_too_bent
120,4.8,0.4855149326599188,72.88892529005173,71.96272329964961,right_elbow_too_bent; left_elbow_too_bent
121,4.84,0.3593927645978091,73.15570286807232,71.94674601736816,left_elbow_too_bent
122,4.88,0.1891345866833555,73.18243807629875,71.99823449934622,left_elbow_too_bent
123,4.92,0.0543455903058601,73.21633506562898,72.1392252012394,left_elbow_too_bent
124,4.96,-0.0507117791573867,73.16621877241177,72.45389719550256,left_elbow_too_bent
125,5.0,-0.1808237771665074,73.14814451349866,72.64368802818267,left_elbow_too_bent
126,5.04,-0.3084849644941141,73.09654231991209,72.83361803858006,left_elbow_too_bent
127,5.08,-0.4538969559915375,73.20441735943658,72.91479420877293,left_elbow_too_bent
144,5.76,-1.2411540837448514,73.93312940403027,76.05005436750632,backward_lean
145,5.8,-1.291086073184074,74.0832129587613,76.35626888381864,backward_lean
146,5.84,-1.3346624522617514,74.27215672236301,76.5451815446989,backward_lean
147,5.88,-1.3558030665094012,74.56119686555138,76.51850365388887,backward_lean
148,5.92,-1.3758468927198824,74.80172399062886,76.70163512058977,backward_lean
149,5.96,-1.3922467051201424,75.01425731282312,76.84840863658201,backward_lean
150,6.0,-1.3938137368590184,75.16493616694244,76.92936612084412,backward_lean
151,6.04,-1.319828592706937,75.3643545285365,77.01131285425141,backward_lean
152,6.08,-1.2910184270746938,75.1906023541734,76.7838792108982,backward_lean
153,6.12,-1.30378376125369,75.23443013946296,76.8828532948666,backward_lean
154,6.16,-1.2661914315005638,75.22311006962208,77.01815281625268,backward_lean
155,6.2,-1.2375394329942124,75.3704314068251,76.98313435623625,backward_lean
156,6.24,-1.2344565781187913,75.49044130016314,76.92302942852363,backward_lean
157,6.28,-1.2577858603754102,75.48112181628042,76.80115867662572,backward_lean
158,6.32,-1.280515198181527,75.80570125486409,76.9056004256019,backward_lean
159,6.36,-1.2821726822656967,76.14252494705018,77.06345994439428,backward_lean
160,6.4,-1.2725883310340933,76.21777682204136,76.89070780902472,backward_lean
161,6.44,-1.2359691710116985,76.37092138305535,76.54277834168714,backward_lean
303,12.12,-1.2270036693631854,75.53463338515378,75.93043168520495,backward_lean
304,12.16,-1.2553329216091058,75.56292165475057,76.04082848218268,backward_lean
305,12.2,-1.278603920061787,75.61150716667096,76.12338127352207,backward_lean
306,12.24,-1.30679461930381,75.62763911612733,76.27721375156027,backward_lean
307,12.28,-1.322036257726589,75.62410003690195,76.81417666341993,backward_lean
308,12.32,-1.3278838918182017,75.60322262734005,77.17427693971601,backward_lean
309,12.36,-1.255559219978886,75.743677477231,77.53200171069784,backward_lean
436,17.44,-0.4376967059873592,76.4557579073279,72.93750257336683,left_elbow_too_bent
437,17.48,-0.4966088481922476,76.33387373586068,72.61681930942653,left_elbow_too_bent
438,17.52,-0.5806656055179084,76.2540632048811,72.33878758114693,left_elbow_too_bent
439,17.56,-0.6755149594168597,76.22418553899094,72.11791518194813,left_elbow_too_bent
440,17.6,-0.7438814266510433,76.28216755025856,71.993694854236,left_elbow_too_bent
441,17.64,-0.8756902045277419,76.21234230450005,71.93469842287068,left_elbow_too_bent
442,17.68,-0.9770030317435614,76.20411942166949,71.68241197076496,left_elbow_too_bent
443,17.72,-1.0561636053287304,76.22038861710413,71.49090242926889,left_elbow_too_bent
444,17.76,-1.125249377082474,76.21969128995794,71.29455084224465,left_elbow_too_bent
445,17.8,-1.1429447917810325,76.27499736158948,71.16504834112344,left_elbow_too_bent
446,17.84,-1.1692704659126705,76.39530430988455,71.13873143132372,left_elbow_too_bent
447,17.88,-1.2096177594539494,76.44498557144514,70.98205769406664,backward_lean; left_elbow_too_bent
448,17.92,-1.2619993444593764,76.54888329238965,70.83839596215671,backward_lean; left_elbow_too_bent
449,17.96,-1.2924366508865506,76.59545972225533,70.56466627881359,backward_lean; left_elbow_too_bent
450,18.0,-1.3504852636938929,76.67310020645894,70.6495722923842,backward_lean; left_elbow_too_bent
451,18.04,-1.4015266501496273,76.61584128254468,70.79974843904135,backward_lean; left_elbow_too_bent
452,18.08,-1.3818429138528172,76.63844717484977,71.01871502407316,backward_lean; left_elbow_too_bent
453,18.12,-1.3595861842776125,76.60860746657484,71.57624378913845,backward_lean; left_elbow_too_bent
454,18.16,-1.3285665642235458,76.67592713145369,71.82491113817227,backward_lean; left_elbow_too_bent
455,18.2,-1.2644960176850073,76.718103616047,71.9659983024073,backward_lean; left_elbow_too_bent
456,18.24,-1.2307849303550655,76.60271731923953,72.19373468710918,backward_lean; left_elbow_too_bent
457,18.28,-1.1915300116168217,76.43837375660054,72.33603594899333,left_elbow_too_bent
458,18.32,-1.165913936967091,76.33659330246066,72.64187576723639,left_elbow_too_bent
459,18.36,-1.1350258263497857,76.04006954860758,72.92421116646773,left_elbow_too_bent
460,18.4,-1.1060235414490205,76.0328101489749,72.80631565386393,left_elbow_too_bent
461,18.44,-1.0298956776117796,76.04437154698259,72.76932661134127,left_elbow_too_bent
462,18.48,-0.905149446352272,76.03036056643126,72.72443794824267,left_elbow_too_bent
463,18.52,-0.7815204220788481,75.75568277150948,72.71434264063174,left_elbow_too_bent
464,18.56,-0.654193135008257,75.57495546846803,72.56371223334801,left_elbow_too_bent
