frame,time_s,torso_lean_deg,right_elbow_angle_deg,left_elbow_angle_deg,reason
584,23.36,-0.2852815497144127,73.71791192296389,72.73818228308352,left_elbow_too_bent
585,23.4,-0.3691918643163566,73.66386996568362,72.67909155515558,left_elbow_too_bent
586,23.44,-0.4231802583920321,73.65930546974344,72.81389477193294,left_elbow_too_bent
587,23.48,-0.475925590624581,73.7698896467389,72.83430811310058,left_elbow_too_bent
601,24.04,-0.9817303177150188,74.81587440593664,72.65390673721258,left_elbow_too_bent
602,24.08,-0.9170104509741406,74.41605712772865,72.06588018878733,left_elbow_too_bent
603,24.12,-0.8440725797751969,74.11796677872967,72.03731215454093,left_elbow_too_bent
604,24.16,-0.7726527566318178,73.93332289865106,72.07433981354961,left_elbow_too_bent
605,24.2,-0.7181419510020728,74.07636843045726,72.67768135734286,left_elbow_too_bent
645,25.8,4.007323751326682,81.6360129490934,76.27154648695155,forward_lean
646,25.84,4.093101283025564,82.0530919874328,76.38078522158614,forward_lean
647,25.88,4.0679318922317815,81.96972648745911,76.98068585045,forward_lean
648,25.92,4.052639078748661,82.04850080666814,78.04435010900792,forward_lean
649,25.96,4.015212526127372,82.23322873670332,79.12106365124804,forward_lean
