frame,time_s,detected,nose_visibility,nose_x,nose_y,nose_z,left_shoulder_visibility,left_shoulder_x,left_shoulder_y,left_shoulder_z,right_shoulder_visibility,right_shoulder_x,right_shoulder_y,right_shoulder_z,left_elbow_visibility,left_elbow_x,left_elbow_y,left_elbow_z,right_elbow_visibility,right_elbow_x,right_elbow_y,right_elbow_z,left_wrist_visibility,left_wrist_x,left_wrist_y,left_wrist_z,right_wrist_visibility,right_wrist_x,right_wrist_y,right_wrist_z,left_hip_visibility,left_hip_x,left_hip_y,left_hip_z,right_hip_visibility,right_hip_x,right_hip_y,right_hip_z,left_knee_visibility,left_knee_x,left_knee_y,left_knee_z,right_knee_visibility,right_knee_x,right_knee_y,right_knee_z,left_ankle_visibility,left_ankle_x,left_ankle_y,left_ankle_z,right_ankle_visibility,right_ankle_x,right_ankle_y,right_ankle_z,mean_visibility,num_visible
0,0.0,1,0.9998656511306763,0.5264778733253479,0.23412537574768066,-0.3607136607170105,0.9998358488082886,0.6217827200889587,0.4131241738796234,-0.02424430288374424,0.9989801049232483,0.4316841661930084,0.41726094484329224,0.04788840934634209,0.9990652203559875,0.7057793140411377,0.5948314666748047,-0.21482917666435242,0.9982292056083679,0.33687824010849,0.6189835071563721,-0.08405131846666336,0.999565064907074,0.7821664214134216,0.413949191570282,-0.6623539924621582,0.998975396156311,0.2536671757698059,0.42863214015960693,-0.5087634325027466,0.968366801738739,0.5850600600242615,0.9134014844894409,0.020412012934684753,0.9507884979248047,0.4713018536567688,0.9141277074813843,-0.018203282728791237,0.01243269257247448,,,,0.010696850717067719,,,,0.008373220451176167,,,,0.0051512932404875755,,,,0.6884866037334387,9
1,0.04,1,0.9998741149902344,0.5269280195236206,0.2356509357690811,-0.3580823689699173,0.9998459219932556,0.6217813074588775,0.41412921547889703,-0.009941745176911352,0.9990620613098145,0.4316606163978576,0.4176433205604553,0.05371602363884448,0.9991381764411926,0.7057810485363006,0.5979553461074829,-0.19750675112009047,0.9983749985694885,0.3367590874433517,0.6193871080875397,-0.0801176019012928,0.9995986819267273,0.7821652054786682,0.4183551847934723,-0.6507886111736297,0.9990562796592712,0.2539428889751434,0.4300369918346405,-0.5086916923522949,0.9697340726852417,0.5850814282894135,0.9140712678432463,0.020043657347559928,0.9533243775367737,0.47129477262496944,0.9162214040756225,-0.017827183380722998,0.011879712343215942,,,,0.010306060314178467,,,,0.007975309155881405,,,,0.004981257487088442,,,,0.6887039249547973,9
2,0.08,1,0.9998816847801208,0.5272360229492187,0.2374305921792984,-0.35097618252038953,0.999854326248169,0.6218463903665542,0.415846208333969,0.0008416312560439133,0.9991322159767151,0.43166477560997,0.41933105230331413,0.06668294262140988,0.9992093443870544,0.705472896695137,0.6027222394943237,-0.18431999370455737,0.9985071420669556,0.3366266587376594,0.6200923091173172,-0.06301709339022636,0.9996316432952881,0.7820418846607208,0.4267835652828217,-0.6365375858545304,0.9991315007209778,0.2541506403684616,0.4327601313591003,-0.4925208079814911,0.9710232019424438,0.5847493976354599,0.9160554569959639,0.01687182554975152,0.955744743347168,0.4710281842947006,0.9192406165599822,-0.014644736405462024,0.011218071915209293,,,,0.009868690744042397,,,,0.0075773634016513824,,,,0.004782731179147959,,,,0.6888894353849957,9
3,0.12,1,0.999884843826294,0.527462068080902,0.23980794882774353,-0.3471309904754161,0.9998576641082764,0.6218937186598777,0.41749891114234916,0.007347185980528594,0.9991761445999146,0.43145657038688656,0.420844870686531,0.07824515207484363,0.999261736869812,0.7049082707762717,0.6086793148517609,-0.17893712480366228,0.9986039400100708,0.3362712720334529,0.6212965206503868,-0.055318876132369035,0.9996556043624878,0.7802706321477889,0.4372972066402435,-0.6407991051077843,0.9991929531097412,0.2542957444787025,0.4349524223804473,-0.4916634044647217,0.9715616703033447,0.5842712321877479,0.9184864633679388,0.013468751979991792,0.9569251537322998,0.47046975570917127,0.92309555208683,-0.011231103177182374,0.01094151008874178,,,,0.009724155999720097,,,,0.007362826727330685,,,,0.004690215922892094,,,,0.6889875707431481,9
4,0.16,1,0.999890923500061,0.5278332670688628,0.24155175561904907,-0.3371769532710313,0.9998611807823181,0.6219812794268131,0.41911154618263236,0.01998682190962136,0.999222993850708,0.4312069984197616,0.42231449238061897,0.0905867634486407,0.9993070960044861,0.7044963492929934,0.6129041634798049,-0.173097619728744,0.9986993670463562,0.33575303768217557,0.6224082439482211,-0.05205186649411916,0.9996780753135681,0.7789982470154762,0.44567823913097376,-0.6434015988886356,0.9992516040802002,0.25501093525290486,0.43646067786216725,-0.4986801681041717,0.9726834297180176,0.583819232314825,0.9208916754901407,0.011266176749579606,0.95893394947052,0.469412040656805,0.9262456015467643,-0.009015450321789829,0.010560856200754642,,,,0.00941475573927164,,,,0.0070990948006510735,,,,0.004535390995442867,,,,0.6891645167309505,9
5,0.2,1,0.9998942613601685,0.5284338005495071,0.24304510268211363,-0.3289929689571261,0.9998636841773987,0.6220423752683402,0.4208570931482314,0.03202974296104163,0.9992664456367493,0.4308332334303855,0.42335512763381,0.09983020874757319,0.9993398785591125,0.7041769263929127,0.6170520291686057,-0.16447146288707848,0.998769998550415,0.3352361717876791,0.6239257028239964,-0.05063702412918209,0.9996955394744873,0.7781358121430872,0.4520597314286231,-0.6424218129819631,0.9992990493774414,0.25593295277178285,0.4382863669157027,-0.5071948067331313,0.9729205965995789,0.5833886775881052,0.9231257847911118,0.009806804378349332,0.9596492052078247,0.46797705527365197,0.9284105460846424,-0.007563079242492093,0.010252844542264938,,,,0.009117307141423225,,,,0.006870393641293049,,,,0.004385730717331171,,,,0.6891788411527299,9
6,0.24,1,0.9998931288719177,0.5289555793681144,0.2448458629732132,-0.3191017759962379,0.9998636245727539,0.6220146717858911,0.4221944183001517,0.04254166580780223,0.9992933869361877,0.4305896939079761,0.42420116929495333,0.10787392603386564,0.9993681311607361,0.7038274811158776,0.6195911659967898,-0.15451072639732058,0.9988318085670471,0.33457113299170127,0.6249853312349914,-0.043319368227645746,0.9997079968452454,0.777274186513543,0.4569617766950129,-0.6361817338262199,0.9993345737457275,0.25624291903489826,0.4401270677638053,-0.5017182665257452,0.9736583232879639,0.5827112078127265,0.9248010266200899,0.008954471270157022,0.9608546495437622,0.4669949619507192,0.9299006872080564,-0.006712489016934296,0.010124817490577698,,,,0.009086084552109241,,,,0.006803826428949833,,,,0.004377826116979122,,,,0.6893229367784582,9
7,0.28,1,0.9998964071273804,0.5293142620697497,0.2467825979510307,-0.31385499211017776,0.9998649954795837,0.6219305487039506,0.4235258319897174,0.05099098467112295,0.9993284940719604,0.43043810793445103,0.425253638702619,0.11225317704598492,0.999395489692688,0.7035296365137039,0.6211126790364979,-0.14714453409667755,0.9988934993743896,0.33382740711549214,0.6260843771262585,-0.03861253300560265,0.999721348285675,0.7766321207793592,0.4597125263183831,-0.632713344964975,0.9993725419044495,0.25644217495818733,0.44233229269528385,-0.5065066224368571,0.9742839336395264,0.5822083508590757,0.9261728409790335,0.008449295554498023,0.9619982242584229,0.46626379449911703,0.9311384070805668,-0.006208092850107791,0.009736327454447746,,,,0.008745703846216202,,,,0.00656771520152688,,,,0.004226245451718569,,,,0.6893869942913835,9
8,0.32,1,0.9998935461044312,0.5299600001953458,0.2486427376035404,-0.30917618255123636,0.999860405921936,0.6216455702080304,0.4249013337737225,0.05904623029923934,0.9993346333503723,0.430327822447617,0.4266554388946211,0.11386793754045435,0.9993874430656433,0.7032972736319498,0.6221424402936577,-0.13691219492146534,0.9989021420478821,0.3332385725455036,0.6274652171427542,-0.03714904834803864,0.9997150897979736,0.776055716872059,0.46255844213750585,-0.6267951678152042,0.9993749260902405,0.256444772037763,0.44421729700725077,-0.5088167373560379,0.9741602540016174,0.5816771973107189,0.9276421943013207,0.009689996032175848,0.9616323113441467,0.46574272366189406,0.9320153967762362,-0.007452544251741159,0.009645000100135803,,,,0.008652112446725368,,,,0.006539630703628063,,,,0.004202080424875021,,,,0.6893307365692005,9
9,0.36,1,0.9998951554298401,0.5306987986711353,0.2502153987243261,-0.3065046559394756,0.9998651146888733,0.6214251819119634,0.426091099905186,0.06487761895664085,0.9993686079978943,0.43023664829786556,0.4284024607620776,0.11422284326037752,0.9994092583656311,0.7029399627658145,0.6243541164697205,-0.12615353551876954,0.9989500045776367,0.33277091132338693,0.6293681106772198,-0.03532576677683837,0.9997241497039795,0.7757120295165875,0.4650738196048203,-0.6162030364712685,0.9993994832038879,0.2564425756206403,0.4463837879883503,-0.5058796057061113,0.975043773651123,0.5810760609560957,0.9292538896295461,0.011507503883818984,0.9628877639770508,0.4650410349793872,0.932870598967578,-0.009272807669652335,0.00938049703836441,,,,0.008402935229241848,,,,0.0063919988460838795,,,,0.004102540202438831,,,,0.6894477909932343,9
