frame,time_s,detected,mean_visibility,num_visible,nose_x,nose_y,nose_z,nose_visibility,left_shoulder_x,left_shoulder_y,left_shoulder_z,left_shoulder_visibility,right_shoulder_x,right_shoulder_y,right_shoulder_z,right_shoulder_visibility,left_elbow_x,left_elbow_y,left_elbow_z,left_elbow_visibility,right_elbow_x,right_elbow_y,right_elbow_z,right_elbow_visibility,left_wrist_x,left_wrist_y,left_wrist_z,left_wrist_visibility,right_wrist_x,right_wrist_y,right_wrist_z,right_wrist_visibility,left_hip_x,left_hip_y,left_hip_z,left_hip_visibility,right_hip_x,right_hip_y,right_hip_z,right_hip_visibility,left_knee_x,left_knee_y,left_knee_z,left_knee_visibility,right_knee_x,right_knee_y,right_knee_z,right_knee_visibility,left_ankle_x,left_ankle_y,left_ankle_z,left_ankle_visibility,right_ankle_x,right_ankle_y,right_ankle_z,right_ankle_visibility
0,0.0,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0.04170833333333333,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,0.08341666666666667,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,0.125125,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,0.16683333333333333,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,0.20854166666666665,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,0.25025,1,0.9617605484448947,13,0.6606122851371765,0.1968124359846115,-0.16105595231056213,0.999321699142456,0.7096779346466064,0.2719576060771942,-0.05722157284617424,0.999944806098938,0.6416735649108887,0.2821800112724304,0.015416075475513935,0.999812662601471,0.7524828314781189,0.3536989688873291,-0.05249086767435074,0.9964228272438049,0.6207372546195984,0.3715771436691284,0.023797709494829178,0.9568401575088501,0.7170423269271851,0.42365649342536926,-0.11690159887075424,0.9765863418579102,0.638477087020874,0.42704471945762634,-0.09930311143398285,0.9226663112640381,0.6965751051902771,0.4779534637928009,-0.027975549921393394,0.9992901086807251,0.6571986079216003,0.480660080909729,0.0279123242944479,0.9988577365875244,0.6933234930038452,0.6440118551254272,-0.055094338953495026,0.9468370676040649,0.6652054786682129,0.6427271366119385,0.011938603594899178,0.8762325644493103,0.6920060515403748,0.7972744703292847,0.05050470307469368,0.9293433427810669,0.676937460899353,0.7917258143424988,0.109097920358181,0.9007315039634705
7,0.2919583333333333,1,0.9635823919222906,13,0.6605914533138275,0.19685002267360685,-0.16036572158336637,0.9993759393692017,0.709694081544876,0.27185095250606534,-0.05802090354263782,0.9999469518661499,0.6417064309120177,0.28206958472728727,0.026225121598690747,0.999824583530426,0.7524926841259002,0.3528550297021866,-0.060122782737016676,0.9965618848800659,0.6208836495876312,0.371627551317215,0.03173788301646709,0.9577603936195374,0.7171672821044921,0.4236286252737045,-0.13028991445899007,0.9777892231941223,0.6384463667869568,0.42704703509807584,-0.09929503798484801,0.9265839457511902,0.6965889990329742,0.4776433289051055,-0.031237284280359743,0.9993418455123901,0.6574107348918914,0.4804348647594452,0.031185009889304637,0.9989486336708069,0.6934500575065612,0.6440039694309234,-0.06534047350287436,0.9493515491485596,0.6651580929756165,0.6427387416362762,0.006853812839835882,0.8826070427894592,0.6916655004024506,0.7993116080760956,0.03676117556169629,0.9325259923934937,0.6770289063453674,0.7929866313934326,0.1031835488975048,0.9059531092643738
8,0.33366666666666667,1,0.9656297426957351,13,0.6605569154024123,0.1969414886832237,-0.1608377036452293,0.9994251132011414,0.7097430247068404,0.27177861064672465,-0.06065542098134756,0.9999480247497559,0.641724555492401,0.2818312910199165,0.03378486682660877,0.9998336434364319,0.7525609141588211,0.3522718182206154,-0.07267206691205501,0.9966857433319092,0.6209608954191207,0.3715549492835999,0.036323461197316644,0.9591851830482483,0.7174097645282744,0.42342689722776405,-0.1521467254310846,0.9789971113204956,0.6380092632770538,0.42702734142541876,-0.10272993654012678,0.9309433698654175,0.6965784472227096,0.4770854330062866,-0.034135980363935226,0.9993832111358643,0.6575937169790267,0.48005855977535244,0.03409724587574601,0.9990256428718567,0.6936034727096556,0.6440236800909042,-0.0766287962347269,0.9519248604774475,0.6647734463214874,0.6425150150060652,-0.001011983444914222,0.8900951743125916,0.6913131028413773,0.8017236381769179,0.023511856179684393,0.9357801675796509,0.6771252298355102,0.795679122209549,0.09403326101601123,0.9119594097137451
9,0.37537499999999996,1,0.9675079721670884,13,0.6604949197173118,0.19717246004939076,-0.1625755847394466,0.999470055103302,0.7098433387875556,0.2717116545736789,-0.06343646538630127,0.9999489784240723,0.6417354545593261,0.2816566712558269,0.037029940607957536,0.9998429417610168,0.7526890341639518,0.3517570417821407,-0.07946684060245751,0.9967565536499023,0.6209778099656105,0.3715792475938797,0.03848359737172723,0.9604629874229431,0.7176041606664657,0.42321763995289796,-0.1612292801365256,0.9798750281333923,0.6376917752027511,0.4272332198321818,-0.10810700190067289,0.9348097443580627,0.6964724093079566,0.47645576906204223,-0.03588446944393217,0.9994209408760071,0.6577221799492835,0.47956150799989694,0.03585500948689878,0.9990963339805603,0.6936988828182219,0.6439378603100776,-0.08035401590913534,0.9543506503105164,0.6644457751512527,0.6422037144303321,-0.004350711186416447,0.8967161178588867,0.691012780368328,0.803487965762615,0.01781147265620529,0.9394310116767883,0.6773233871459959,0.7974275559186935,0.09062152769416569,0.9174222946166992
10,0.4170833333333333,1,0.9692301429235018,13,0.660360864073038,0.19737282193005082,-0.16363613999187943,0.9995095133781433,0.7099236616313457,0.27160384553372857,-0.06563643946908412,0.999949038028717,0.6417369148254394,0.28151779878437516,0.0401018544842489,0.999849259853363,0.7527832242786883,0.3513306712299585,-0.08416713742837309,0.9968205094337463,0.620949256080389,0.3716313397049904,0.03972818257771432,0.9613694548606873,0.717745137465,0.42307216121852387,-0.16669111674204465,0.9806873798370361,0.637444106209278,0.4274159764081239,-0.11077402698397634,0.9381013512611389,0.6963431438386439,0.47578356542587275,-0.03721774199213832,0.9994503855705261,0.6578117106378077,0.4789610954225063,0.03719452051464468,0.9991544485092163,0.6937614141225813,0.643875801628828,-0.08250154566541314,0.9567275643348694,0.6641368331313132,0.6419492365777492,-0.005969704124610871,0.9029843211174011,0.6907785220444201,0.805099040776491,0.013516048292256886,0.942837655544281,0.6775488577842711,0.798757245838642,0.08904841533675788,0.9225509762763977
11,0.45879166666666665,1,0.9707412123680115,13,0.6601907430976628,0.19773348130196328,-0.16431711502283808,0.999544620513916,0.7099835175448655,0.2714602689781785,-0.06691981215540319,0.9999494552612305,0.6417074313545226,0.281296634235084,0.04212891651856712,0.9998568892478943,0.752852179314494,0.3510034764441847,-0.08689005352951586,0.9968719482421875,0.6209036085611581,0.3716675001990795,0.040130906419493254,0.962539792060852,0.717847415384054,0.4229170574334262,-0.17050472406171258,0.9814590811729431,0.637152738598585,0.42745128933399906,-0.11377506074488161,0.9414801001548767,0.696208759189248,0.4751011820125579,-0.03804797112965956,0.9994781613349915,0.6578757232242821,0.4783939020305872,0.03802895789047703,0.9992097616195679,0.6938187222504615,0.6437780368787049,-0.0846785136386007,0.9586118459701538,0.663901243931055,0.6417655767303705,-0.008130545073049143,0.9081923365592957,0.6906175452917813,0.806285104510188,0.008879998377636072,0.9455246329307556,0.6778571233940123,0.7997324640452861,0.08567201936207709,0.9269171357154846
12,0.5005,1,0.9721961846718421,13,0.659962617677748,0.19798630943086737,-0.16454810272839662,0.9995777010917664,0.7100198555709719,0.2713112084654271,-0.06783480496689304,0.9999493956565857,0.6416656571178435,0.2810713127162754,0.04474109091428387,0.9998630285263062,0.7529015028417705,0.3507581948482096,-0.08922710120209305,0.9969290494918823,0.6208714764837622,0.3716969342061281,0.04025961985844,0.963527262210846,0.7179710805450676,0.4226677492768465,-0.1728540873064175,0.9821251034736633,0.6368762364579438,0.4273008243706523,-0.11730312637513875,0.9445841312408447,0.6961038538102506,0.4744163397989272,-0.03897321423905156,0.999505877494812,0.6579240010251401,0.4778115081319213,0.03895759938945807,0.9992634654045105,0.6938669203298091,0.6436495200716852,-0.08665964750716834,0.9605981707572937,0.6637347758096456,0.6415508086394667,-0.00916813379879575,0.9132609963417053,0.6905012137606739,0.8070614724853633,0.0055988042695298765,0.9482342600822449,0.6784416057720183,0.8003950538665054,0.08430990021202711,0.9311319589614868
13,0.5422083333333333,1,0.9735287519601675,13,0.6596632583197055,0.1980133804592579,-0.16475025971562562,0.999609649181366,0.7099358580614387,0.2711064710230737,-0.06924492628414666,0.9999498128890991,0.6415391761346816,0.2808564208383053,0.04732427373178032,0.9998685121536255,0.752944004412335,0.3505690276096433,-0.09177856862216963,0.9970219135284424,0.6208336954382001,0.37168402827976943,0.04054125804663039,0.964316189289093,0.7180716294074414,0.42238050032234475,-0.1751589433226488,0.982865571975708,0.6364600437298654,0.4270189558989494,-0.11992376280246375,0.9473570585250854,0.695990884284073,0.4738910844752311,-0.04034626437437478,0.9995355010032654,0.6579567941277086,0.4774065324932635,0.040333231798343916,0.9993146061897278,0.6939484559499978,0.643563098822671,-0.09100211037982328,0.9626328945159912,0.6636089140372872,0.6413997378387033,-0.005207971851766573,0.9175541400909424,0.6903933887521921,0.8078232618817983,0.001679448751740901,0.9509837627410889,0.6788463088510511,0.8009630616208909,0.09149395732622964,0.9348641633987427
14,0.5839166666666666,1,0.974915243112124,13,0.6594447303095726,0.19796280732146526,-0.1661463102885249,0.9996400475502014,0.709899733411638,0.2709686086384233,-0.07041237411625648,0.999950110912323,0.6413914877969932,0.280724503765929,0.048386099932124796,0.9998739957809448,0.7530401848883324,0.3504311924804368,-0.0935942655182763,0.9970785975456238,0.6207403722948687,0.3716797505819714,0.04065092676651712,0.9653511643409729,0.7181425142901192,0.4220248682300587,-0.17692229589933667,0.9833882451057434,0.6361743414591419,0.42703045794056677,-0.12116258355669915,0.949861466884613,0.6959057795861618,0.47352922614220605,-0.041213770257913666,0.9995624423027039,0.657966213084678,0.47712980871292054,0.04120411548323744,0.9993613362312317,0.6940328894160818,0.6435314645173614,-0.09324141851715423,0.9647072553634644,0.6635086514491021,0.641293988278169,-0.0021802772179428005,0.9224212169647217,0.69018135104461,0.808629366641691,0.00042696411833740644,0.9538630843162537,0.6791071598576163,0.8014508607974349,0.0981816653507862,0.9388391971588135
15,0.625625,1,0.9760364890098572,13,0.6592926547721513,0.19813504486554998,-0.16878730206009884,0.9996657967567444,0.7098586211235897,0.2708260246182922,-0.07210838879554693,0.9999503493309021,0.6412471933324374,0.28062590332756415,0.04789527378804624,0.9998785853385925,0.7531057588449741,0.35027736226125383,-0.09509838201242872,0.9971187710762024,0.6206473299347162,0.3716893804572762,0.03964592756470606,0.9661269783973694,0.7181706939172681,0.42171747149032723,-0.17800911226650235,0.9837983846664429,0.6359996699227359,0.4272448606499113,-0.12234293280924277,0.9519656300544739,0.6958395544192671,0.4731912032670048,-0.04174140747213216,0.9995833039283752,0.6579685863457064,0.4768877239567485,0.04173412051116546,0.9994010329246521,0.6940922610632421,0.6434826951088235,-0.09416626352227254,0.9663988947868347,0.6634350165284401,0.6412087877148995,-0.0013652215928525511,0.9263412356376648,0.6900342836352034,0.8091924598016496,-0.00032490257933334346,0.9561433792114258,0.6792839619907397,0.8017816986733166,0.10225970028524989,0.9421020150184631
16,0.6673333333333333,1,0.97708293566337,13,0.6591846283333342,0.19823569127412533,-0.17022694154403603,0.9996893405914307,0.7098325426123642,0.27073178585825464,-0.07311702430036124,0.9999502301216125,0.6411031645746496,0.28056438426525376,0.047506786367585235,0.9998824596405029,0.753187316113128,0.35017817476970625,-0.09588585003561509,0.9971517324447632,0.6205767106948256,0.3717634269348699,0.03863254245766397,0.9669450521469116,0.7181971967043831,0.4214570985506143,-0.17937932184483715,0.984190046787262,0.6359298817369765,0.42749311139639756,-0.12464054774462621,0.953967809677124,0.6957924100211298,0.47294974139674373,-0.04203373724298373,0.9996011257171631,0.6579697290680169,0.47672619502541547,0.042027693126803475,0.9994349479675293,0.6941824764877844,0.6435653577847488,-0.0945292402874387,0.9679345488548279,0.6633800925006179,0.64128645854078,-0.001117241287177036,0.9300650954246521,0.6899004731635541,0.809752063665659,-0.0004213154937224297,0.9581843614578247,0.6793456214045346,0.8021492553020955,0.10386986916343148,0.9450814127922058
17,0.7090416666666666,1,0.9781203178259043,13,0.6590888753771572,0.1983054016823006,-0.17121691507772005,0.9997114539146423,0.7097993388095967,0.2706445219866501,-0.07372386988848963,0.9999505877494812,0.6409682803897089,0.28052251003429973,0.047199895989798485,0.999886691570282,0.7532461406959985,0.35010658881771434,-0.09635674996219787,0.997194766998291,0.6205235757784616,0.37187036992374484,0.03767431864791986,0.9677252769470215,0.7182138174648729,0.42127363049875854,-0.17988610952896153,0.9846096038818359,0.6359422737794516,0.4277171872786639,-0.1262900411670765,0.9559114575386047,0.6957406692421162,0.47278298008383024,-0.04220140277200626,0.9996179342269897,0.6579631797209333,0.47661983923671625,0.04219610347742248,0.9994668364524841,0.6942715910682282,0.6436884172183518,-0.09456357734398739,0.9694792628288269,0.6633401615254875,0.6413477303367613,-0.0010129735172065952,0.9337368607521057,0.6898069846473338,0.8102529880401586,-0.00039251680120014354,0.9602324366569519,0.6793172574204606,0.8024766757672834,0.10440593803481105,0.9480409622192383
18,0.7507499999999999,1,0.9790653036190913,13,0.6590342579948755,0.19845838490685844,-0.17230371636025882,0.9997309446334839,0.7097857699815064,0.27059977192942763,-0.07410032615855697,0.9999504685401917,0.6408702673001705,0.2805142265913087,0.046228104167513134,0.999889612197876,0.7532937730870372,0.3500562193711152,-0.09671208664903937,0.9972202181816101,0.620485022351106,0.3719567366926312,0.036826180793421606,0.9684435725212097,0.718224343350823,0.42114072357340465,-0.18045106115799736,0.9849092960357666,0.6359553112691818,0.42797697463754525,-0.12716165986754024,0.9575561285018921,0.6956909681261586,0.47266786543089645,-0.042266546032802076,0.9996337890625,0.657949636599865,0.47654111653159636,0.0422638110625355,0.9994965195655823,0.6943337388164244,0.6437158899700215,-0.09447997847097801,0.9708322286605835,0.6633092057687995,0.6413337756442259,-0.00260942207874765,0.9372867941856384,0.6897417751440943,0.8105937109289532,-0.0003070489042437647,0.9620571732521057,0.679295346271364,0.8026989499936565,0.10268832337050725,0.9508422017097473
19,0.7924583333333333,1,0.9797374376883874,13,0.6589817207125321,0.19873499771448686,-0.17308576952726584,0.9997462630271912,0.7097313537415406,0.27052424408480646,-0.0745250396038766,0.9999502897262573,0.6407839197952084,0.28047738608221595,0.04504028653932855,0.9998918771743774,0.7533093416556922,0.3500036247475629,-0.0969001775840017,0.9972326159477234,0.6204604847028573,0.37204412280936117,0.03585107193818092,0.9687352180480957,0.7181971109746959,0.4210464549095101,-0.1807170034249933,0.9851352572441101,0.6359814248357538,0.4282258541920443,-0.12752409542568788,0.9587360620498657,0.6956422119767174,0.4725697614082788,-0.042300848627470994,0.9996444582939148,0.6579393696338063,0.4764476908118864,0.042299562232228714,0.9995197653770447,0.6943668531505772,0.6437021118439137,-0.09381305602419754,0.9718183279037476,0.6632820650327275,0.641287547198242,-0.004455432422174384,0.9398815631866455,0.6897120071691948,0.8107480849950089,1.1169456085254552e-05,0.9633435010910034,0.6792971567232983,0.8027798156089629,0.09955839453967771,0.9529514908790588
20,0.8341666666666666,1,0.9805041184792151,13,0.6589181225247429,0.19881435116474727,-0.1735768937659031,0.999763011932373,0.7096930120340564,0.2704861893280306,-0.07476601933181014,0.9999502301216125,0.6407100297338737,0.2804582227821178,0.0442307613748637,0.9998950362205505,0.7533245848323549,0.3499883824122528,-0.09696797784183074,0.9972507357597351,0.6204444527582629,0.37218999725176244,0.03510701727371692,0.9692409634590149,0.718178173481161,0.4209793492576943,-0.1808261880835114,0.9853807091712952,0.636041725606921,0.42846663336724655,-0.12841646110492733,0.9600422978401184,0.6956053468189133,0.4725038244456416,-0.04231748995688373,0.9996562004089355,0.6579200412914243,0.4763995930562355,0.042317029809527416,0.9995431900024414,0.694421021639303,0.643780085983458,-0.09277562845806148,0.9729654788970947,0.663257648455267,0.6413893513809782,-0.0056629019742701035,0.9427775144577026,0.6896934762865179,0.8108715606023869,0.0025262580984319076,0.9648417830467224,0.6792428129060768,0.8029112015270126,0.09838526668332669,0.9552463889122009
21,0.875875,1,0.9811347585458022,13,0.658873460742143,0.19886201735577413,-0.17486411646149913,0.99977707862854,0.7096511882311209,0.27046173252828626,-0.07565167972761201,0.999950110912323,0.6406394597022613,0.28045448230589615,0.04347290031322132,0.9998971223831177,0.7533338781887243,0.3499868859323666,-0.09778676533907207,0.9972846508026123,0.6204486083953988,0.3723620345504616,0.03415900369535779,0.9696255922317505,0.7181347155621789,0.42093128453642387,-0.18144866145572588,0.9856184720993042,0.6360506946363467,0.4285914140794618,-0.12969278658265324,0.9612259864807129,0.6955653791448517,0.4724584553531066,-0.04236420877034237,0.9996699094772339,0.657887414123571,0.4763622142381426,0.042364620921910776,0.9995669722557068,0.6944574733071496,0.6437827045518238,-0.09398632381699389,0.9739741086959839,0.6632165779024515,0.6413849760146736,-0.006395058786953042,0.9449982643127441,0.689675497878483,0.8109810426436861,0.002193286512003777,0.9660868048667908,0.6792026801109902,0.802999398695633,0.09763631577817455,0.9570767879486084
22,0.9175833333333333,1,0.9817075133323669,13,0.6588418935106347,0.19888246438273788,-0.1756292514065867,0.9997900724411011,0.7096216969923449,0.2704681268008291,-0.07623157427233919,0.9999500513076782,0.6405882010152157,0.2804510324877464,0.043079130997715424,0.9998992085456848,0.7533350370015467,0.3499890212844773,-0.09822857104685591,0.9973124861717224,0.6204563095548339,0.37252790622096,0.033942254682735866,0.9700038433074951,0.7181022028958598,0.42089584215149456,-0.18183093192026084,0.9858632683753967,0.6360278262856496,0.4286790645617008,-0.12994428580387546,0.9622582197189331,0.6955168381705612,0.4724265628778813,-0.042391725218080864,0.9996795058250427,0.657849089819361,0.47632831536281794,0.04239227747473188,0.9995856881141663,0.6944825603211997,0.6437821772057469,-0.0944416693750951,0.9747614860534668,0.663174614165734,0.6413622079626976,-0.0073369804402283675,0.9471793174743652,0.6896609996837613,0.8110522083662052,0.0023755646282504063,0.9671211242675781,0.6791741401195937,0.8030567915350632,0.096211337535277,0.9587934017181396
23,0.9592916666666667,1,0.9821502061990591,13,0.6588195818718577,0.1988977876003414,-0.1760505480013267,0.9997999668121338,0.7095792378252139,0.2704730945299285,-0.07639124237364257,0.9999497532844543,0.6405488509439579,0.28044666854315736,0.042827756410162274,0.9999003410339355,0.7533168044865166,0.3500067791582817,-0.09799114049536664,0.9973301887512207,0.6205127159819017,0.3726397874407621,0.03396101381406127,0.9702028036117554,0.7180687509561637,0.42086997747983157,-0.18150586034150468,0.9860584139823914,0.6359640572383031,0.42869495645646566,-0.12955663774181286,0.9630423784255981,0.6954467927180042,0.47240154699551207,-0.04232886419698434,0.9996863007545471,0.6578165765233024,0.47628151021186593,0.04232954134928333,0.9996001720428467,0.6944971708011185,0.6437968820781568,-0.0941794358524435,0.9753852486610413,0.6631349577488079,0.6413456087147574,-0.008134825092163116,0.9488837122917175,0.6896479720431135,0.8110796368673909,0.002564019889456435,0.9679587483406067,0.679193501191168,0.8030925140556996,0.09444138327448218,0.96015465259552
24,1.001,1,0.9825535737551175,13,0.6588025510946327,0.1988700018015584,-0.17619759437535037,0.9998093247413635,0.7095374285862618,0.2704877656925869,-0.07632580320046353,0.9999492168426514,0.6405157984249001,0.2804439088249367,0.04279811093581164,0.9999011158943176,0.7532819045609259,0.35004445819747165,-0.09752631760382528,0.9973427653312683,0.620600551768691,0.37269574361213603,0.03427598089195745,0.9703648090362549,0.7180434391706726,0.42085096025860236,-0.1810490707725692,0.9862096905708313,0.6357399612406708,0.4285961012724938,-0.12877677303193225,0.9637598991394043,0.6953780377242582,0.4723819705769121,-0.04226974499924367,0.9996936321258545,0.6577870580493439,0.4762289340222762,0.04227089514604213,0.9996147751808167,0.6945085246648478,0.6438062993005654,-0.09393706495393586,0.9759711623191833,0.6630984006113908,0.6413003006959723,-0.008989978444451591,0.9504822492599487,0.6896376546413,0.8110944022326496,0.0027162517653909154,0.9686829447746277,0.6792264194903574,0.803109455311707,0.0925683813139404,0.9614148736000061
