frame,time_s,detected,mean_visibility,num_visible,torso_lean_deg,right_elbow_angle_deg,left_elbow_angle_deg,right_knee_angle_deg,left_knee_angle_deg,right_wrist_speed_norm,left_wrist_speed_norm
0,0.0,0,,0,,,,,,,
1,0.04170833333333333,0,,0,,,,,,,
2,0.08341666666666667,0,,0,,,,,,,
3,0.125125,0,,0,,,,,,,
4,0.16683333333333333,0,,0,,,,,,,
5,0.20854166666666665,0,,0,,,,,,,
6,0.25025,1,0.9617605484448947,13,-0.6099629399671704,127.7743288616138,95.04090291019082,177.05094371166084,178.8817973619336,,
7,0.2919583333333333,1,0.9635823919222906,13,-0.6550488038404367,128.14618427058437,95.2089019439822,176.8550879256184,179.24905814076388,0.006083172995415384,0.024914991652000687
8,0.33366666666666667,1,0.9656297426957351,13,-0.6826526793788044,128.98658743868344,95.30847109732414,176.33366966362706,179.66442665031644,0.08650462646130709,0.05296577173506124
9,0.37537499999999996,1,0.9675079721670884,13,-0.6616953480084349,129.58989883164327,95.30555201986067,175.81336982285052,179.97197865614842,0.06686015659934562,0.04496029111987778
10,0.4170833333333333,1,0.9692301429235018,13,-0.6325701952185373,129.97186456267863,95.33135964296798,175.30068203340622,179.68018593517516,0.053052259177345594,0.03224918483528141
11,0.45879166666666665,1,0.9707412123680115,13,-0.6083626945819341,130.36586423940577,95.35421771907338,174.82541045068183,179.437297474584,0.057778167799387305,0.02659660033499782
12,0.5005,1,0.9721961846718421,13,-0.5966816932425909,130.70963028241388,95.36958225011078,174.26301813376293,179.2491316607815,0.057208732978637364,0.03699100441428841
13,0.5422083333333333,1,0.9735287519601675,13,-0.6306771829392344,131.28040362711369,95.29932726815815,173.87114103812627,179.0225020919092,0.08811239065464396,0.037650790148683985
14,0.5839166666666666,1,0.974915243112124,13,-0.6588623754394966,131.65077274757311,95.10473745024969,173.61160456902573,178.74713174169787,0.05653802540272778,0.04198787677354246
15,0.625625,1,0.9760364890098572,13,-0.690478499395511,131.9282823824209,94.93868849806559,173.43214988993412,178.55222024535897,0.0419939281610778,0.03466007936406409
16,0.6673333333333333,1,0.97708293566337,13,-0.7226338991961996,132.09810981513974,94.7569472597123,173.33862603619272,178.33836330514077,0.0308847072478911,0.029446288325854216
17,0.7090416666666666,1,0.9781203178259043,13,-0.7509741476166063,132.16006283665607,94.62305953376368,173.32376124255322,178.14732310443316,0.025056600027629054,0.020680409824347126
18,0.7507499999999999,1,0.9790653036190913,13,-0.7636055633923646,132.23221900869314,94.51770328325004,173.32053533144452,178.0075590938463,0.029025371090861028,0.01493647886257859
19,0.7924583333333333,1,0.9797374376883874,13,-0.7846724465242245,132.30947519404876,94.42863263728715,173.29918956823042,177.9230038673035,0.02817438140832774,0.011793316597922196
20,0.8341666666666666,1,0.9805041184792151,13,-0.7991249340663145,132.32728549873642,94.35326238294513,173.31316835555475,177.82480020065313,0.02933098292064381,0.008355014712193071
21,0.875875,1,0.9811347585458022,13,-0.8094205724062192,132.41030142649583,94.26672670074186,173.31234459497176,177.74793741640758,0.013999183015630991,0.010125806423432528
22,0.9175833333333333,1,0.9817075133323669,13,-0.8079949793750949,132.5155906774504,94.20286411424938,173.3065271095845,177.6812580812115,0.010752393614530585,0.00754531079593744
23,0.9592916666666667,1,0.9821502061990591,13,-0.802829598430543,132.7689110356275,94.16182687579393,173.26864948866054,177.61424855234623,0.012739466488428221,0.007216988919657775
24,1.001,1,0.9825535737551175,13,-0.7970039182441869,133.2943868168211,94.15056418804804,173.22554026742472,177.55349116261118,0.04567980326138501,0.005436539346423114
25,1.0427083333333333,1,0.982886552810669,13,-0.7868295576008654,133.97798127175344,94.14244688514637,173.18026963878543,177.49630672199427,0.06910764654676413,0.004115230628953395
26,1.0844166666666666,1,0.9831726826154269,13,-0.7746546529667087,134.68212230391606,94.1419379466312,173.1323848948826,177.43716975835096,0.06276235425446623,0.004714534914023219
27,1.1261249999999998,1,0.9834075157458966,13,-0.7664644900321103,135.48083386250445,94.12807055458742,173.09153217521336,177.4014043458364,0.06682704687649009,0.008042907897904485
28,1.1678333333333333,1,0.9836557599214407,13,-0.7534139988116992,136.33576063656812,94.13293913062333,173.0679630274299,177.3511152198063,0.06274447606781916,0.005845255851671683
29,1.2095416666666665,1,0.9838768106240493,13,-0.7539713763274105,137.07918859959634,94.15877098391911,173.00118684127588,177.33235431768708,0.03868603361356741,0.0042576164775701844
30,1.25125,1,0.9839637325360224,13,-0.7531205643507944,137.73644617458754,94.14068147617596,172.9760183922683,177.3000372057984,0.023299325227496205,0.007899518461385566
31,1.2929583333333332,1,0.9841652375001174,13,-0.7447036077060151,138.20017421399768,94.12134723347896,172.96740698427195,177.2680809828612,0.011665574525332883,0.006333689801498944
32,1.3346666666666667,1,0.9843991215412433,13,-0.743137557559936,138.54006287694781,94.10145227470232,172.94286664183753,177.25765703691326,0.006794033091755596,0.004426414758901613
33,1.376375,1,0.9844239033185519,13,-0.745994772669287,138.83007355446276,94.06762892913581,172.9675935936294,177.2342195928024,0.009775813852747827,0.00515579517646375
34,1.4180833333333331,1,0.984604115669544,13,-0.7502431526204443,139.01708716327167,94.04495330376743,172.97238681781744,177.22001325547737,0.004459989173772092,0.0037218420369356697
35,1.4597916666666666,1,0.9847381160809443,13,-0.759979188785306,139.19585216129695,94.01453152465437,172.96929615729144,177.21083462723652,0.008430729301099296,0.002912114082625745
36,1.5014999999999998,1,0.9848406956746028,13,-0.7667863760355909,139.35830137770242,94.00629596355799,172.96706762353753,177.20140018065183,0.0113022454157988,0.002002414863064268
37,1.5432083333333333,1,0.9848878246087295,13,-0.7736012470627255,139.536989044095,93.98288619468546,172.97034274853462,177.1914976471556,0.01774186071652845,0.0050089850042350885
38,1.5849166666666665,1,0.9849262466797462,13,-0.7739148736378867,139.6328776974692,93.96585261901657,172.9623015696311,177.18045018348806,0.011090314882680532,0.0025432497108402656
39,1.626625,1,0.9848556885352502,13,-0.7744665435140969,139.7119494685501,93.95677967264615,172.9479549273823,177.17318615587627,0.009869432702428986,0.0019770771357033104
40,1.6683333333333332,1,0.9849997392067542,13,-0.7747986691609969,139.78136549614396,93.9452874480704,172.93218959961328,177.16628964680928,0.014326828817524315,0.0006739093806709796
41,1.7100416666666665,1,0.9850390003277705,13,-0.773467554843975,139.84464393350268,93.93619554091583,172.9198921190789,177.15886253123466,0.010716347888745684,0.0008741998319024375
42,1.75175,1,0.9851231758411114,13,-0.7754600035467782,139.82756591012222,93.92227165253782,172.9028583080843,177.15931960922353,0.0055290939939808895,0.0004725974990222501
43,1.7934583333333332,1,0.9851921934347886,13,-0.772186514611362,139.70804728524516,93.89817028596293,172.96219136532312,177.14684007860924,0.01378555204854576,0.0022210627471071806
44,1.8351666666666666,1,0.9852414497962365,13,-0.7701706747513586,139.58075206787854,93.88581766543678,172.97722772783322,177.14942388400416,0.014165973226058833,0.0005883547624323693
45,1.8768749999999998,1,0.9853130349746118,13,-0.7664806590065125,139.49753640376252,93.87780022167543,172.9883402680577,177.14582619649434,0.00913201394365102,0.00043594206823435554
46,1.9185833333333333,1,0.985444582425631,13,-0.7621060561722534,139.4427668943389,93.86362806886211,172.9870283871305,177.15722585508306,0.012991603835276472,0.0017396115783903214
47,1.9602916666666665,1,0.9854267331270071,13,-0.7561094927812383,139.4330734459297,93.85510928284369,172.96511564731574,177.17560659668203,0.0037237834494642176,0.001369357643869808
48,2.002,1,0.9854647425504831,13,-0.751960198208662,139.46322245007514,93.85453379558778,172.95068893978376,177.18925203819424,0.009745192518790047,0.0011702197214377708
49,2.043708333333333,1,0.9854571773455694,13,-0.7493476303293498,139.50037866562207,93.84686313619768,172.93226177272223,177.19595895729697,0.01516892094288738,0.0018555782057472115
50,2.0854166666666667,1,0.9853751567693857,13,-0.747678926856525,139.53751677221916,93.83973266399506,172.9174207363246,177.200224224574,0.017360778074877656,0.0022018213733475543
51,2.127125,1,0.9854194797002352,13,-0.7467087036872752,139.5680971658782,93.83534899933471,172.90087019024187,177.20307757943257,0.018536896346502976,0.0016862229950384824
52,2.168833333333333,1,0.9853815986559942,13,-0.743145875745907,139.5897190438483,93.83539943278512,172.90133121654128,177.20703108636306,0.013081528541137026,0.0013588711733662844
53,2.2105416666666664,1,0.9854728304422818,13,-0.740091893914001,139.61243948612938,93.83925418931328,172.90178738541564,177.21263874535637,0.011000081343015023,0.000951715646143638
54,2.2522499999999996,1,0.985422290288485,13,-0.7342311800808373,139.46343811555863,93.84275309418106,172.90290237076667,177.2220135122085,0.016488302325011195,0.0007674600911307958
55,2.2939583333333333,1,0.9855571893545297,13,-0.7285108004299872,139.33135300580474,93.84713568358424,172.90039328688943,177.23109122212264,0.017629208860285107,0.0012155641307993342
56,2.3356666666666666,1,0.9855534388468816,13,-0.7170647148578321,139.147474838551,93.81380454196625,172.90602794123848,177.23847399481684,0.023713725869407704,0.011030089152263245
57,2.377375,1,0.9855832503392146,13,-0.709083133537755,139.02732907938545,93.8046320368034,172.8998766442574,177.25828234535587,0.01593240995786209,0.008137116325310561
58,2.419083333333333,1,0.9854713219862717,13,-0.7003702587586501,138.90121664564,93.8058897216752,172.8805522938138,177.2621411185198,0.019899840040225027,0.004621947436811943
59,2.4607916666666667,1,0.9855442368067228,13,-0.6925869943598939,138.83086375416383,93.79801787080702,172.8626331202146,177.26926528436223,0.015037891864643426,0.010778306637040814
60,2.5025,1,0.9855280243433439,13,-0.701278379607265,138.70672407794197,93.8028322529802,172.84137363669467,177.27796341475278,0.046852349523749774,0.005428072536522533
61,2.544208333333333,1,0.985475324667417,13,-0.7167776675722036,138.47305795192077,93.77730923341153,172.8595584279274,177.30099120702147,0.039076504403081115,0.00684076917808833
62,2.5859166666666664,1,0.9854507492138789,13,-0.7306556184299826,138.30213315468148,93.755586545498,172.8591966178864,177.29270046082047,0.04557526559324025,0.00551919851064715
63,2.6276249999999997,1,0.9853337636360755,13,-0.741330807788143,138.32746651202686,93.70396332167101,172.85164040868503,177.28555952745805,0.02986114196678132,0.011756533420173533
64,2.6693333333333333,1,0.9853666103803195,13,-0.7510417242616473,138.38788438383145,93.67593424442411,172.83343522636778,177.27941357265587,0.023473842511544253,0.005198333540800724
65,2.7110416666666666,1,0.9852812840388372,13,-0.7579037356849726,138.40295264337914,93.64644450514062,172.86584439743172,177.26599324259402,0.014877584784088443,0.005946514085391645
66,2.75275,1,0.9853468032983633,13,-0.7646275392308743,138.44597904318113,93.62584778403823,172.8813364681058,177.26068048114706,0.01451371875096612,0.004028832586302773
67,2.794458333333333,1,0.9853480962606577,13,-0.7607662646211869,138.53153620443274,93.62703533797065,172.91838829332028,177.2452810426913,0.0173531195747403,0.0018051357369520647
68,2.8361666666666663,1,0.9853216272134048,13,-0.7574561453323126,138.69490867192167,93.6197247724551,172.92789409070787,177.23658357266842,0.01801483135144726,0.004358647876957272
69,2.877875,1,0.9852637602732732,13,-0.752151791378658,138.84437971568627,93.61807830306421,172.92068181286817,177.23205712263857,0.01953894752524962,0.0007784255641838805
70,2.919583333333333,1,0.9853148552087637,13,-0.7462414623930795,139.0558885650891,93.60872926987233,172.90144833039815,177.22701468875388,0.03238506250047395,0.003953974696982362
71,2.9612916666666664,1,0.985417746580564,13,-0.7403327545716963,139.25578451018822,93.60604201784831,172.87874145554375,177.22507153521312,0.04015266307705024,0.0028065716281160803
72,3.0029999999999997,1,0.9854150139368497,13,-0.728557600138351,139.4382489816058,93.59908164336248,172.8535871094241,177.22727801113797,0.03602967238203136,0.0038281048178900987
73,3.044708333333333,1,0.9855494407507089,13,-0.7199139196981412,139.63822411194107,93.59515640549802,172.81814017776867,177.22135902150367,0.034005399333336433,0.0025000801041808003
74,3.0864166666666666,1,0.9855616780427786,13,-0.705987637461999,139.7872029342831,93.57407205957861,172.79226484402488,177.2140418219944,0.024423737194919838,0.007048619242811094
75,3.128125,1,0.9856438590930059,13,-0.6956002122578206,139.92288261793388,93.56301204588361,172.7673156186703,177.23379116751136,0.018614956135342624,0.005263195813860661
76,3.169833333333333,1,0.9856588015189538,13,-0.685534278260357,140.01118009463374,93.53679598795424,172.69780677476598,177.24244116138874,0.01512169925770209,0.006781395490428679
77,3.2115416666666663,1,0.9857899867571317,13,-0.6653552714365558,140.0846224414195,93.52416224356428,172.64626935572386,177.25688128980983,0.010328260197542823,0.0073732475824085705
78,3.25325,1,0.9857034133030818,13,-0.6477800414974859,139.91520371839184,93.52127605951509,172.55770953432068,177.28354996971862,0.022595625815206022,0.005020016711200533
79,3.294958333333333,1,0.9857206298754766,13,-0.6328595683755119,139.80838468577178,93.51847563013159,172.45843332704538,177.3028147440802,0.014954747528577327,0.0039046640540959573
80,3.3366666666666664,1,0.9857697349328262,13,-0.6120979252231568,139.7460574764985,93.54506064188375,172.3911496999251,177.33267010357946,0.009163222218123435,0.0027251173026531746
81,3.3783749999999997,1,0.9856920838356018,13,-0.5933306915916179,139.52838995257895,93.5809758315493,172.30549159049312,177.35902264586258,0.02768770229097936,0.004433353957531744
82,3.420083333333333,1,0.9857369248683636,13,-0.5772088932260355,139.37905190861233,93.61601416939769,172.2586968214838,177.3794520072605,0.017713976141978907,0.0029762337702362827
83,3.4617916666666666,1,0.9858159193625817,13,-0.5645595002958091,139.2880878706456,93.63838541870304,172.22731934457545,177.39988922757232,0.01211180660390147,0.0027827720818064043
84,3.5035,1,0.985862461420206,13,-0.552748177411464,139.36764848977137,93.65580245096183,172.2152936589731,177.41854437848926,0.013734508662351512,0.002158494934613049
85,3.545208333333333,1,0.9859015666521512,13,-0.5387596119108187,139.4537207724281,93.66057860561915,172.21145703367114,177.42993006787793,0.014798117556866728,0.003658837795920147
86,3.5869166666666663,1,0.9858318888224088,13,-0.5228259616965701,139.5513702226444,93.66821455280346,172.22432647705583,177.44442492830404,0.02035268682758269,0.004941066794554979
87,3.6286249999999995,1,0.9857575710003192,13,-0.5112636599694098,139.62623910950163,93.67718364173481,172.19492828611803,177.46028206128764,0.014659641706525282,0.004121433791995753
88,3.6703333333333332,1,0.9857326975235572,13,-0.49696360997353867,139.6797849482604,93.6928822431061,172.1782960831479,177.46766843292139,0.011433432393115459,0.0032422824251229073
89,3.7120416666666665,1,0.9856962194809546,13,-0.4867549351419817,139.7051776573342,93.7029626066239,172.14384271075838,177.47490394092145,0.007963058501633638,0.00500109836909905
90,3.7537499999999997,1,0.9857869377503028,13,-0.47909003727599764,139.74024172013148,93.71327415726898,172.1334578794856,177.48161261343054,0.004654189655914643,0.0035217358665000863
91,3.795458333333333,1,0.9857512024732736,13,-0.4719771774979753,139.77442136017544,93.7146160474125,172.07871136277873,177.4877646879564,0.004327210898859957,0.004806310395482663
92,3.8371666666666666,1,0.9857196395213788,13,-0.4675356222567339,139.79858106011739,93.72070221374175,172.05224966173105,177.494988528968,0.0027284936802993622,0.003582491040340616
93,3.878875,1,0.9856513830331656,13,-0.4649790195974464,139.84439803721915,93.7272835206676,172.03144572618388,177.49574174825875,0.024679811707717113,0.0027107996304518403
94,3.920583333333333,1,0.9857103595366845,13,-0.46278677581849254,139.89666287238524,93.72296874222918,172.0207836965309,177.49630302916006,0.017147545297044507,0.003829503840325518
95,3.9622916666666663,1,0.9856546842134916,13,-0.4608766073405448,139.92726745524618,93.72743991084927,172.0114168066897,177.4966737140752,0.012622744516829007,0.0036244121188363345
96,4.004,1,0.9856866827377906,13,-0.457700379007843,139.9434196136084,93.73011836696176,172.02228896484962,177.49694478253073,0.008877091430901088,0.0028529744425335106
97,4.045708333333333,1,0.9856651425361633,13,-0.45563346803711524,139.87784207010407,93.73561294719403,172.04023205919137,177.49092217270262,0.008658722191661467,0.0022330300230573104
98,4.087416666666666,1,0.9856083668195285,13,-0.4541174194761131,139.8225715112983,93.74078118965191,172.04674646776292,177.48688098956492,0.0071518604421964135,0.001787262824190332
99,4.129124999999999,1,0.9855808661534236,13,-0.45202911029585946,139.7960125644326,93.74924963549168,172.05487329864226,177.48061108893057,0.002215230642971755,0.0016600708433774393
100,4.170833333333333,1,0.9856033967091486,13,-0.45025541426553867,139.77420741789564,93.75829528490296,172.06041440221088,177.4761563265663,0.0009793038358991378,0.0015523109793940297
101,4.212541666666667,1,0.985648159797375,13,-0.4468540330850715,139.78659249106764,93.75583250337326,172.06423649970594,177.47325679616,0.006893570351323311,0.0033329527884615124
102,4.25425,1,0.9857012537809519,13,-0.443682595387354,139.67864588725416,93.76226262738805,172.07368171991234,177.4749116092154,0.015570227508830902,0.0011447289835670117
103,4.295958333333333,1,0.9857606658568749,13,-0.4385890634280092,139.61289263682247,93.75319945655733,172.09210420121602,177.4807076087097,0.00862676125032692,0.0011229820407547284
104,4.337666666666666,1,0.985767662525177,13,-0.4315041360983549,139.5784905365733,93.74177828446902,172.1016256251404,177.46821630735695,0.010050742578281383,0.0007121888950890192
105,4.379375,1,0.9858645796775818,13,-0.421460808108945,139.5618714054085,93.74173841779812,172.10705394878084,177.46198379476,0.013804640453728577,0.0067811799437887685
106,4.421083333333333,1,0.9858193489221426,13,-0.40278691352325136,139.34915571444188,93.74520683161145,172.10211549587558,177.47040493270177,0.03519962391639389,0.00944653642139952
107,4.462791666666666,1,0.9857576856246362,13,-0.3971569614191921,139.03828456913547,93.69378634882666,172.04495827715172,177.44323044472856,0.049497698708304685,0.00635950069367283
108,4.504499999999999,1,0.9857619358943059,13,-0.40019180828138673,138.77363268566128,93.56410952124214,171.94500786568668,177.40463615871067,0.04037204372751051,0.012264751853035726
109,4.546208333333333,1,0.9857958830319918,13,-0.41659561866679773,138.37463113894012,93.52048727412992,171.80843853713395,177.30719834748263,0.05630502747186041,0.038130049196489144
110,4.587916666666667,1,0.9858978986740112,13,-0.43760755470470053,137.9691256768024,93.3622492351689,171.1368073596621,177.18843304937297,0.07055296596372017,0.06118152492623085
111,4.629625,1,0.9860033071958102,13,-0.4860663331305101,137.70313377508498,93.11271826997798,170.29138267024345,176.97515288582946,0.05118306911116959,0.0756475673297583
112,4.671333333333333,1,0.9860101479750413,13,-0.5545083429762933,137.62885560323508,93.05574603572079,168.12023273255764,176.60492458313493,0.07349608486375384,0.10703781484691155
113,4.713041666666666,1,0.9858209536625788,13,-0.5561870863502908,137.3487613317829,93.12522806224544,164.5190224288201,176.31381950849658,0.1325648890113956,0.11031116022694466
114,4.75475,1,0.9857287544470567,13,-0.5150517107842226,137.32697419553278,93.17829527246491,161.13872505646634,176.0974514858363,0.1768743169144865,0.08798746718668429
115,4.796458333333333,1,0.9856083255547744,13,-0.5410905809432984,138.3240381405097,93.2650935972737,158.17814364170727,176.02487001240326,0.19465366125504432,0.06906193202547704
116,4.838166666666666,1,0.9853755281521723,13,-0.5588075997613404,140.03148133876792,93.29107645399637,156.0457987568165,175.86284932900776,0.20684157434669231,0.052509383766685805
117,4.879874999999999,1,0.9847394182131841,13,-0.5116480198643909,142.60196761266394,93.24495979179117,155.47882900801972,175.7993112091979,0.23184489638502712,0.037731392603720215
118,4.921583333333333,1,0.9834389090538025,13,-0.5232868965826248,146.0003150714356,93.09888595120339,155.88479451079337,175.8639417656377,0.22519674724153266,0.0264972816815959
119,4.963291666666667,1,0.979735777928279,13,-0.46480248582031686,152.83017151269937,93.44910619522425,157.37638906669298,176.15798901168392,0.25026577930219135,0.026209098004500022
120,5.005,1,0.9765341327740595,13,-0.4861018685023066,157.10047682509656,93.9601641721277,159.24224740394575,176.61998055720258,0.21165268440064908,0.0778038408156997
121,5.046708333333333,1,0.973937071286715,13,-0.38567577030526234,159.50857663629918,94.35758960258684,160.53859248201837,177.4473568188951,0.15796301563947293,0.17846725047633366
122,5.088416666666666,1,0.9718651404747596,13,-0.21736951948360056,161.70241989321184,94.7280267101325,161.57657512878436,178.25148622338614,0.0988864453566666,0.384917645981529
123,5.130125,1,0.9695580693391653,13,0.07409685300549577,164.08117846106168,95.28999729105362,162.67166179305318,179.15708100327288,0.06239500421370623,0.4275092651713887
124,5.171833333333333,1,0.9672438043814439,13,0.3645515883732155,167.55945525992448,95.6921030490869,164.18186329644956,179.97498458048824,0.2206185177258825,0.42346228307122663
125,5.213541666666666,1,0.9654129560177143,13,0.7073544568056784,169.32324831884247,96.2975638493829,166.22333452114694,178.9831949206039,0.36937325871362614,0.45215453610456263
126,5.255249999999999,1,0.9629650528614337,13,1.2103682382768521,170.34584268083958,96.19535412326417,168.45167375902105,177.81397359084067,0.5094826443576159,0.592543259028629
127,5.2969583333333325,1,0.962663471698761,13,1.4330788979935056,166.79029500849833,95.89023476070824,170.6763479667089,175.85917050623343,0.780536838544716,0.6073076770878274
128,5.338666666666667,1,0.9626129544698275,13,1.4708824694226457,162.0496425347511,95.37492986413642,172.55665078403513,173.7748528445675,0.8697999095489579,0.6346902231306464
129,5.380375,1,0.9626985375697796,13,1.3142928235797973,159.06602462716398,95.28277895213223,174.2066673232554,171.60243490983328,1.113784995947333,0.6022466827331062
