frame,time_s,torso_lean_deg,right_elbow_angle_deg,left_elbow_angle_deg,reason
117,4.68,0.8649693430021715,74.19123793392657,72.96471641094737,left_elbow_too_bent
118,4.72,0.7462975924971358,73.62362193268306,72.49144561399478,left_elbow_too_bent
119,4.76,0.6095845460530493,73.0578416580664,71.96304461882585,left_elbow_too_bent
120,4.8,0.4855149326599188,72.88892529005173,71.96272329964961,right_elbow_too_bent; left_elbow_too_bent
447,17.88,-1.2096177594539494,76.44498557144514,70.98205769406664,backward_lean; left_elbow_too_bent
448,17.92,-1.2619993444593764,76.54888329238965,70.83839596215671,backward_lean; left_elbow_too_bent
449,17.96,-1.2924366508865506,76.59545972225533,70.56466627881359,backward_lean; left_elbow_too_bent
450,18.0,-1.3504852636938929,76.67310020645894,70.6495722923842,backward_lean; left_elbow_too_bent
645,25.8,4.007323751326682,81.6360129490934,76.27154648695155,forward_lean
646,25.84,4.093101283025564,82.0530919874328,76.38078522158614,forward_lean
